measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Thailand,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,6098.354459,8640.757457,4035.775742
Incidence,Japan,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,16319.36673,20787.11857,12063.25673
Incidence,Saudi Arabia,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,5417.909715,6914.646445,4077.830829
Incidence,Finland,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,223.9704073,333.5290231,139.4698921
Incidence,Albania,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,153.9599554,217.035752,101.1771674
Incidence,Guatemala,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,2893.899403,3823.239139,2071.415102
Incidence,Comoros,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,45.16677078,63.9263424,29.9814368
Incidence,Saint Lucia,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,9.458026606,13.60101971,6.104717313
Incidence,France,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,2889.519203,4338.03376,1783.940714
Incidence,Djibouti,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,70.96270194,102.336134,47.85886838
Incidence,Cameroon,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,672.6721133,999.7181233,422.4217217
Incidence,Spain,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,3996.487908,5491.051411,2713.024894
Incidence,Bermuda,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,2.216722646,3.200556981,1.420214686
Incidence,Belarus,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,441.5492363,674.378186,264.728095
Incidence,Uganda,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,1635.307761,2297.380664,1119.671241
Incidence,Democratic People's Republic of Korea,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,1558.680698,2311.441036,972.3677763
Incidence,Sao Tome and Principe,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,7.334812431,11.04144596,4.662963528
Incidence,Bahrain,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,244.3303062,314.3199441,179.1639037
Incidence,Timor-Leste,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,78.48397813,111.5273752,52.30350219
Incidence,Armenia,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,332.3701201,474.4601329,218.6850951
Incidence,Antigua and Barbuda,Both,All ages,Cirrhosis and other chronic liver diseases due to hepatitis C,Number,2019,4.532566328,6.501043658,2.90570133
