measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Cyprus,Both,All ages,Acute hepatitis C,Rate,2016,35.10865224,41.51901893,29.81184458
Incidence,Tonga,Both,All ages,Acute hepatitis C,Rate,2016,39.21968095,44.68185137,34.7740344
Incidence,Uzbekistan,Both,All ages,Acute hepatitis C,Rate,2016,176.675177,204.1221074,155.9141986
Incidence,Slovakia,Both,All ages,Acute hepatitis C,Rate,2016,38.44431169,44.80436221,32.97231663
Incidence,Costa Rica,Both,All ages,Acute hepatitis C,Rate,2016,91.39665843,105.9018585,79.59124149
Incidence,Benin,Both,All ages,Acute hepatitis C,Rate,2016,212.2475397,250.4227032,181.1692713
Incidence,Sudan,Both,All ages,Acute hepatitis C,Rate,2016,101.8017967,120.0368676,87.81959821
Incidence,United States of America,Both,All ages,Acute hepatitis C,Rate,2016,52.18787192,61.48585347,44.64847122
Incidence,India,Both,All ages,Acute hepatitis C,Rate,2016,41.53456215,48.54720609,36.17194469
Incidence,Puerto Rico,Both,All ages,Acute hepatitis C,Rate,2016,71.90346549,85.08213975,61.14634924
Incidence,Algeria,Both,All ages,Acute hepatitis C,Rate,2016,93.09568574,109.2114379,80.37671702
Incidence,Norway,Both,All ages,Acute hepatitis C,Rate,2016,44.12683477,53.04310374,36.79449628
Incidence,Denmark,Both,All ages,Acute hepatitis C,Rate,2016,41.03201456,48.17720189,34.77204388
Incidence,Croatia,Both,All ages,Acute hepatitis C,Rate,2017,35.27083929,41.45529531,29.98331649
Incidence,Burkina Faso,Both,All ages,Acute hepatitis C,Rate,2016,205.3931378,244.1733337,174.8726032
Incidence,Fiji,Both,All ages,Acute hepatitis C,Rate,2017,33.12176402,38.54386155,28.60322808
Incidence,Haiti,Both,All ages,Acute hepatitis C,Rate,2016,119.6471403,141.3106544,103.0988811
Incidence,Vanuatu,Both,All ages,Acute hepatitis C,Rate,2016,34.74102255,40.47695146,30.30571258
Incidence,Qatar,Both,All ages,Acute hepatitis C,Rate,2016,79.25027008,95.23310206,66.43168538
Incidence,Kenya,Both,All ages,Acute hepatitis C,Rate,2017,75.979469,91.12174549,65.65020675
Incidence,Albania,Both,All ages,Acute hepatitis C,Rate,2016,39.28894708,45.84248001,33.94451327
Incidence,Burundi,Both,All ages,Acute hepatitis C,Rate,2016,179.5993115,214.0364065,153.1263871
Incidence,Niger,Both,All ages,Acute hepatitis C,Rate,2016,202.6997349,242.907672,169.1072553
Incidence,Azerbaijan,Both,All ages,Acute hepatitis C,Rate,2017,121.2987854,143.2473905,105.6773712
Incidence,Slovenia,Both,All ages,Acute hepatitis C,Rate,2016,43.87651921,51.54074399,37.52820543
Incidence,China,Both,All ages,Acute hepatitis C,Rate,2016,26.95738155,31.14518394,23.51358483
Incidence,Somalia,Both,All ages,Acute hepatitis C,Rate,2016,140.1196703,167.9445096,119.453645
Incidence,Latvia,Both,All ages,Acute hepatitis C,Rate,2017,58.77324229,68.94038925,50.57037791
Incidence,Sri Lanka,Both,All ages,Acute hepatitis C,Rate,2016,30.10159998,34.53539965,26.75499927
Incidence,Brunei Darussalam,Both,All ages,Acute hepatitis C,Rate,2016,27.43085646,32.52947554,23.5714003
Incidence,Cambodia,Both,All ages,Acute hepatitis C,Rate,2017,198.0021252,225.6793818,172.7328244
Incidence,Comoros,Both,All ages,Acute hepatitis C,Rate,2016,95.69354726,113.1923372,82.99323866
Incidence,Jamaica,Both,All ages,Acute hepatitis C,Rate,2016,63.86750913,76.27059509,55.40057116
Incidence,Greece,Both,All ages,Acute hepatitis C,Rate,2017,32.53790379,39.81259323,26.88765984
Incidence,Japan,Both,All ages,Acute hepatitis C,Rate,2016,65.40785622,80.56345928,54.26084819
Incidence,Portugal,Both,All ages,Acute hepatitis C,Rate,2016,47.13186138,56.58451545,40.19606567
Incidence,El Salvador,Both,All ages,Acute hepatitis C,Rate,2016,103.6733217,120.5086476,90.49058761
