Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
World,604127,[582031.0-627062.0],15.6,13.3,1.82
India,123907,[119237.0-128760.0],18.7,18,3.12
China,109741,[106978.0-112576.0],15.6,10.7,1.32
Indonesia,36633,[33763.5-39746.4],27,24.4,3.55
Brazil,17743,[16977.0-18543.6],16.4,12.7,1.99
Russian Federation,15308,[14910.1-15716.5],19.6,14.1,1.59
United States of America,13545,[13118.7-13985.2],8.1,6.2,0.73
Japan,12785,[11424.7-14307.2],19.8,15.2,1.6
Nigeria,12075,[10035.7-14528.6],11.9,18.4,2.88
South Africa,10702,[10390.6-11022.8],35.6,35.3,5.48
"Tanzania, United Republic of",10241,[9352.0-11214.5],34.3,62.5,9.32
Mexico,9439,[8942.8-9962.7],14.3,12.6,2.01
Thailand,9158,[8563.1-9794.2],25.6,16.4,2.54
Bangladesh,8268,[6083.7-11236.5],10.2,10.6,1.43
Philippines,7897,[7306.2-8535.6],14.5,15.2,2.41
"Congo, Democratic Republic of",7772,[5029.7-12009.4],17.3,31.9,5.27
Ethiopia,7445,[6425.3-8626.5],13,21.5,3.22
Myanmar,7129,[4069.1-12489.9],25.3,22.6,3.39
Uganda,6959,[6312.5-7671.7],30,56.2,7.68
Mozambique,5325,[4630.3-6124.0],33.1,50.2,6.07
Kenya,5236,[4591.6-5970.9],19.4,31.3,4.23
Pakistan,5008,[3805.2-6591.0],4.7,6.1,0.8
Ukraine,4756,[4386.8-5156.3],20.3,14.3,1.57
Colombia,4742,[4311.2-5215.8],18.3,14.9,2.41
Germany,4666,[4366.3-4986.3],11,7.6,0.92
Argentina,4583,[4133.9-5080.9],19.8,16.7,2.09
Peru,4270,[3779.3-4824.4],25.7,22.2,3.63
Malawi,4145,[3476.4-4942.2],42.7,67.9,7.5
Viet Nam,4132,[3786.7-4508.8],8.5,6.6,1.12
Poland,3862,[3582.6-4163.2],19.8,12.3,1.7
United Kingdom,3791,[3562.9-4033.7],11,9.9,0.94
Madagascar,3763,[2193.4-6455.9],27.1,41.2,5.75
"Venezuela, Bolivarian Republic of",3709,[3220.3-4271.9],25.7,22.2,3.61
Romania,3380,[3019.0-3784.1],34.2,22.6,2.7
France,3379,[2994.8-3812.5],10,7,0.91
"Korea, Republic of",3218,[3061.9-3382.1],12.6,8.1,1.06
Angola,3195,[2660.0-3837.6],19.2,37.6,6.03
Zambia,3161,[2778.7-3595.9],34.1,65.5,9.43
Italy,3152,[2648.0-3751.9],10.2,6.9,0.79
Zimbabwe,3043,[2747.7-3370.0],39.2,61.7,10.39
Ghana,2797,[2174.1-3598.3],18.3,27.4,5.79
Cameroon,2770,[2237.8-3428.8],20.9,33.7,4.44
Turkey,2532,[2042.5-3138.9],5.9,4.8,0.78
Nepal,2244,[1926.1-2614.3],14.2,16.4,3.71
Morocco,2165,[1917.0-2445.0],11.6,10.4,1.72
Guinea,2068,[1750.4-2443.3],30.5,50.1,8.29
Côte d'Ivoire,2067,[1800.2-2373.3],15.8,31.2,5.97
"Bolivia, Plurinational State of",1985,[1757.8-2241.6],34.1,36.6,4.23
"Korea, Democratic Republic of",1970,[1684.5-2303.9],15,11.2,1.36
Spain,1957,[1697.1-2256.8],8.2,5.4,0.67
Senegal,1937,[856.2-4382.0],22.6,36.3,5.72
Mali,1934,[1648.8-2268.5],19.1,36.4,5.05
Uzbekistan,1887,[1616.8-2202.3],11.3,11,1.4
Kazakhstan,1777,[1677.0-1882.9],18.4,15.7,1.9
Malaysia,1740,[1616.6-1872.9],11.1,10.2,1.66
Algeria,1663,[1437.7-1923.6],7.7,7.9,1.33
Burundi,1581,[921.5-2712.4],26.4,49.3,7.08
Guatemala,1555,[1382.0-1749.6],17.1,20.3,3.58
Ecuador,1534,[1332.6-1765.9],17.4,16,3.03
Chile,1503,[1271.0-1777.4],15.5,11.1,1.75
Canada,1422,[1214.8-1664.5],7.5,5.5,0.65
Sri Lanka,1407,[1314.8-1505.7],12.6,9.2,1.47
Egypt,1320,[1013.5-1719.1],2.6,2.9,0.63
Hungary,1251,[1025.9-1525.5],24.7,17.2,2.01
Rwanda,1229,[929.5-1625.1],18.7,28.2,4.15
Sudan,1227,[1124.4-1339.0],5.6,8.7,1.45
Serbia,1205,[1024.7-1417.0],27,18.7,2.23
Afghanistan,1200,[883.0-1630.8],6.3,10.4,1.4
Cuba,1187,[1011.3-1393.3],20.8,13.9,1.92
Paraguay,1175,[942.8-1464.3],33.5,34.1,5.02
Cambodia,1135,[647.8-1988.5],13.3,14,2.11
Burkina Faso,1132,[636.9-2012.1],10.8,18.2,2.3
Papua New Guinea,1077,[310.7-3733.3],24.6,29.2,4.31
Dominican Republic,1074,[959.4-1202.2],19.8,17.9,3.45
"Iran, Islamic Republic of",1056,[956.8-1165.4],2.5,2.3,0.5
Somalia,1055,[614.9-1810.0],13.2,25.1,3.56
Bulgaria,1009,[863.5-1179.0],28.2,18,2.19
Australia,920,[834.2-1014.6],7.2,5.6,0.63
Chad,890,[576.0-1375.2],10.8,20.2,2.91
Portugal,865,[705.9-1060.0],16.1,10.7,1.32
Honduras,858,[668.5-1101.2],17.3,19.5,2.83
Belarus,835,[777.5-896.8],16.5,11.4,1.37
The Netherlands,773,[670.4-891.3],9,6.9,0.78
Czechia,769,[654.5-903.5],14.1,9.3,1.21
Nicaragua,719,[593.0-871.8],21.4,21.3,3.68
South Sudan,711,[414.4-1219.8],12.7,20.5,3.12
Slovakia,698,[638.6-762.9],24.9,16.6,2.09
Greece,697,[530.0-916.6],13.1,8,1.1
Sweden,656,[585.4-735.1],13,10.4,1.14
Liberia,656,[290.0-1484.0],26.1,40.8,7.23
Belgium,639,[562.4-726.1],10.9,7.7,0.96
Niger,622,[311.8-1240.9],5.2,10.4,1.41
Haiti,588,[501.7-689.1],10.2,11.6,3.15
Benin,560,[391.4-801.2],9.2,15.1,2.15
Lesotho,541,[381.3-767.7],49.8,56.8,7.79
El Salvador,530,[432.6-649.3],15.4,13.1,2.49
Sierra Leone,504,[468.5-542.2],12.6,21.2,3.34
Kyrgyzstan,498,[392.0-632.7],15.1,15.4,2.08
Republic of Moldova,480,[375.3-614.0],22.8,16.3,1.81
Turkmenistan,461,[385.7-551.0],15.1,14.9,1.92
Togo,455,[320.7-645.6],10.9,19.1,3.92
Mauritania,428,[189.2-968.2],18.5,28.9,4.71
Azerbaijan,425,[374.5-482.3],8.4,6.7,0.91
Lithuania,412,[351.2-483.3],28.2,18.7,2.29
Norway,397,[336.3-468.6],14.8,12,1.26
Jamaica,386,[322.7-461.7],25.9,21.6,3.4
Austria,385,[298.5-496.5],8.4,5.3,0.74
Denmark,384,[322.7-456.9],13.2,10.2,1.19
Namibia,375,[332.5-422.9],28.6,37.4,6.63
Botswana,374,[281.7-496.6],30.8,34.4,5.78
Lao People's Democratic Republic,371,[211.8-650.0],10.2,12,1.81
Costa Rica,367,[258.9-520.3],14.4,11.7,1.4
Saudi Arabia,358,[190.9-671.4],2.4,2.8,0.52
"Congo, Republic of",350,[270.0-453.7],12.7,22.4,4.34
Panama,346,[270.1-443.2],16.1,14,2.15
Tunisia,342,[263.5-443.9],5.7,4.6,0.77
Ireland,342,[252.9-462.6],13.8,10.7,1.21
Eswatini,341,[302.8-384.0],57.8,84.5,11.32
Croatia,336,[271.9-415.2],15.8,10.1,1.31
Mongolia,334,[291.5-382.8],20.1,19.7,2.93
Georgia,327,[305.8-349.6],15.7,10.6,1.42
Tajikistan,322,[262.7-394.7],6.8,8.2,1.19
Bosnia and Herzegovina,312,[253.1-384.6],18.6,14.3,1.44
Singapore,309,[254.8-374.8],11.1,6.9,1.14
Central African Republic,297,[192.2-458.9],12.2,21.8,3.45
The Republic of the Gambia,286,[213.4-383.4],23.5,42.9,11.58
Iraq,286,[248.5-329.1],1.4,2.2,0.33
Uruguay,273,[211.1-353.1],15.2,11.7,1.47
Latvia,267,[197.5-361.0],26.3,18.4,2.11
Israel,245,[194.0-309.3],5.6,4.9,0.65
Libya,240,[165.5-348.0],7.1,7.7,1.33
Guinea-Bissau,239,[105.6-540.7],23.8,39.6,6.52
Gabon,236,[163.9-339.9],21.6,30.8,4.9
Switzerland,236,[166.4-334.7],5.4,3.4,0.5
Yemen,225,[102.7-493.0],1.5,2.5,0.36
Syrian Arab Republic,215,[42.7-1082.4],2.5,2.8,0.5
Trinidad and Tobago,202,[154.9-263.5],28.5,19.8,3.66
Estonia,196,[145.7-263.7],28.1,18.5,2.34
Finland,185,[133.7-256.1],6.6,5.2,0.57
Armenia,178,[166.5-190.3],11.3,7.8,1.19
Eritrea,178,[103.8-305.4],10.1,15.3,2.33
New Zealand,174,[123.6-244.9],7.1,5.6,0.66
Comoros,167,[97.3-286.5],38.8,56,7.21
Puerto Rico,156,[97.1-250.7],10.4,8,0.89
Fiji,136,[111.8-165.4],30.7,29.8,4.99
Albania,133,[92.4-191.4],9.4,6.6,0.86
Lebanon,124,[99.5-154.6],3.7,3.4,0.58
United Arab Emirates,123,[87.6-172.8],4,6.2,1.11
Equatorial Guinea,123,[79.6-190.1],19.8,32.8,4.41
Mauritius,123,[82.0-184.6],19.1,12.6,2.26
Guyana,121,[81.0-180.6],30.9,29.5,4.67
Jordan,115,[84.0-157.4],2.3,2.9,0.55
North Macedonia,113,[78.8-162.0],10.9,7.5,0.93
Montenegro,113,[90.9-140.5],35.6,26.2,2.86
Slovenia,104,[65.1-166.3],10,6.7,0.81
Oman,88,[59.1-131.1],5.1,6.5,0.96
Suriname,78,[51.4-118.3],26.7,23.7,3.45
"France, La Réunion",70,[52.5-93.2],15.2,10.3,1.84
Timor-Leste,65,[37.1-113.9],10,14,2.38
Solomon Islands,65,[18.8-225.3],19.3,25.4,3.91
Gaza Strip and West Bank,64,[12.7-322.2],2.5,4.8,1.38
Djibouti,63,[36.7-108.1],13.4,15.3,2.21
Brunei Darussalam,54,[36.2-80.5],25.7,20.8,2.07
Kuwait,53,[36.8-76.3],3.2,2.8,0.4
Bhutan,47,[41.7-52.9],13,14.2,1.7
Cabo Verde,46,[26.4-80.1],16.6,17,2.54
Maldives,46,[33.8-62.5],23.3,24.5,3.42
Cyprus,46,[30.8-68.7],7.6,5.6,0.7
Bahamas,39,[22.7-67.0],19.3,14.9,2.91
Barbados,39,[22.6-67.4],26.3,15.2,2.85
Belize,34,[19.5-59.2],17,19.1,3.61
"France, New Caledonia",30,[18.5-48.8],21.1,16.1,3.12
"France, Guadeloupe",29,[19.5-43.1],13.5,7.9,1.34
"France, Martinique",26,[17.0-39.8],12.8,6.9,1.3
Luxembourg,24,[10.1-57.1],7.8,5.2,0.75
Qatar,23,[6.1-86.6],3.2,4.1,0.53
Vanuatu,22,[7.2-67.2],14.5,17.1,1.67
Bahrain,21,[11.6-37.9],3.5,3.9,0.48
Saint Lucia,20,[9.3-43.1],21.5,16.6,3.05
Guam,19,[11.9-30.2],22.7,18.4,2.66
French Guiana,18,[11.1-29.1],11.9,12.6,3.42
French Polynesia,16,[8.6-29.7],11.5,9,1.14
Iceland,16,[9.6-26.6],9.4,8.3,0.74
Sao Tome and Principe,13,[12.5-13.6],11.9,16,4.67
Malta,13,[6.6-25.8],5.9,3.7,0.53
Samoa,10,[5.0-19.9],10.4,12.4,1.48
