Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
World,341831,[324231.0-360386.0],8.8,7.3,1.23
India,77348,[74245.5-80580.2],11.7,11.4,2.35
China,59060,[56090.0-62187.3],8.4,5.3,0.86
Indonesia,21003,[19331.7-22818.7],15.5,14.4,2.64
Brazil,9168,[8852.8-9494.4],8.5,6.3,1.19
Nigeria,7968,[6468.9-9814.5],7.8,13.2,2.45
Russian Federation,7550,[7313.9-7793.7],9.6,6.1,0.86
"Tanzania, United Republic of",6525,[5857.9-7268.1],21.8,42.7,7.1
South Africa,5870,[5492.2-6273.8],19.5,19.6,3.31
United States of America,5706,[5381.5-6050.0],3.4,2.1,0.37
"Congo, Democratic Republic of",5548,[3678.3-8368.1],12.4,23.7,4.44
Ethiopia,5338,[4497.6-6335.5],9.3,16,2.68
Bangladesh,4971,[3736.6-6613.2],6.1,6.7,1.01
Thailand,4705,[4337.8-5103.3],13.1,7.4,1.67
Uganda,4607,[4113.1-5160.3],19.9,41.4,6.44
Myanmar,4497,[2802.1-7217.1],16,14.4,2.69
Mexico,4335,[4141.9-4537.1],6.6,5.7,1.17
Japan,4213,[4016.8-4418.8],6.5,2.9,0.52
Philippines,4052,[3737.3-4393.2],7.4,7.9,1.82
Mozambique,3850,[3272.1-4530.0],24,38.7,5.2
Kenya,3211,[2747.0-3753.3],11.9,20.6,3.08
Pakistan,3197,[2403.1-4253.1],3,4,0.58
Malawi,2905,[2392.7-3527.0],30,51.5,6.34
Argentina,2553,[2350.5-2772.9],11,8.7,1.37
Colombia,2490,[2316.3-2676.7],9.6,7.4,1.65
Madagascar,2460,[1425.3-4245.9],17.7,29,4.6
Peru,2288,[2079.2-2517.7],13.8,11.5,2.58
Viet Nam,2223,[2019.4-2447.1],4.6,3.4,0.8
Poland,2137,[2012.2-2269.5],11,5.9,1.04
"Venezuela, Bolivarian Republic of",2129,[1910.2-2372.8],14.7,12.5,2.41
Ukraine,2089,[1938.8-2250.9],8.9,5.6,0.71
Germany,2075,[1939.0-2220.5],4.9,2.2,0.44
Zimbabwe,1976,[1752.6-2227.9],25.4,43,8.61
Angola,1949,[1602.6-2370.2],11.7,25,4.72
Zambia,1904,[1633.6-2219.1],20.5,43.4,7.15
Romania,1805,[1653.6-1970.2],18.3,9.6,1.66
Cameroon,1787,[1421.4-2246.6],13.5,23.4,3.49
Ghana,1699,[1282.9-2250.0],11.1,17.8,4.6
Nepal,1493,[1251.4-1781.2],9.5,11.1,2.98
Guinea,1463,[1232.3-1736.9],21.6,37.2,7.1
France,1452,[1320.9-1596.1],4.3,2.2,0.42
Côte d'Ivoire,1417,[1208.5-1661.4],10.8,22.8,5.04
Mali,1406,[1172.4-1686.2],13.9,28.3,4.31
Senegal,1312,[612.4-2810.8],15.3,26,4.69
Turkey,1245,[1101.3-1407.5],2.9,2.2,0.5
Morocco,1199,[1045.6-1374.9],6.4,5.8,1.1
"Korea, Democratic Republic of",1128,[879.5-1446.8],8.6,6.5,0.78
Burundi,1126,[652.4-1943.4],18.8,38.5,6.13
United Kingdom,1121,[1035.8-1213.2],3.3,1.9,0.34
Uzbekistan,1103,[969.5-1254.9],6.6,6.7,0.98
"Bolivia, Plurinational State of",1054,[938.2-1184.1],18.1,18,3.32
"Korea, Republic of",1014,[921.6-1115.6],4,1.8,0.48
Italy,1011,[884.5-1155.6],3.3,1.6,0.28
Malaysia,991,[918.4-1069.3],6.3,5.8,1.41
Algeria,930,[786.6-1099.5],4.3,4.5,0.89
Guatemala,872,[786.9-966.3],9.6,11.9,2.6
Burkina Faso,839,[445.2-1581.2],8,14.3,1.97
Kazakhstan,834,[769.0-904.4],8.6,7.2,1.02
Rwanda,829,[596.9-1151.4],12.6,20.1,3.43
Sudan,828,[754.3-908.9],3.8,6.2,1.18
Afghanistan,823,[618.6-1094.9],4.3,7.6,1.11
Spain,814,[728.8-909.1],3.4,1.6,0.31
Ecuador,813,[728.1-907.9],9.2,8.2,2.11
Somalia,812,[470.5-1401.5],10.2,20.2,3.13
Chile,799,[702.5-908.7],8.2,5.2,1.17
Sri Lanka,780,[716.4-849.3],7,4.9,0.91
Egypt,744,[552.5-1001.8],1.5,1.7,0.5
Cuba,715,[624.6-818.5],12.5,6.9,1.34
Dominican Republic,714,[644.6-790.9],13.1,11.7,2.88
Chad,650,[430.9-980.4],7.9,16,2.58
Papua New Guinea,650,[211.8-1995.2],14.8,19.1,3.75
Paraguay,648,[545.3-770.0],18.5,19,3.86
"Iran, Islamic Republic of",644,[584.3-709.8],1.5,1.5,0.42
Cambodia,643,[400.7-1031.9],7.5,8.3,1.59
Canada,637,[572.7-708.5],3.4,1.9,0.35
Serbia,634,[559.1-718.9],14.2,7.9,1.34
South Sudan,529,[306.5-913.0],9.5,16,2.72
Honduras,518,[449.0-597.6],10.5,12.5,1.99
Bulgaria,503,[409.0-618.6],14.1,7.1,1.25
Hungary,482,[414.6-560.4],9.5,4.9,0.87
Niger,475,[221.7-1017.6],3.9,8.4,1.24
Liberia,469,[218.9-1004.8],18.6,30.8,6.27
Haiti,439,[380.1-507.0],7.6,9,2.68
Nicaragua,413,[350.4-486.8],12.3,12.6,2.54
Czechia,398,[338.6-467.8],7.3,3.6,0.73
Portugal,379,[323.2-444.5],7.1,3.2,0.63
Benin,368,[241.5-560.7],6.1,10.4,1.65
Sierra Leone,367,[336.9-399.8],9.2,16.4,2.86
Lesotho,362,[252.2-519.7],33.4,38.7,6.26
Belarus,358,[316.1-405.4],7.1,4.2,0.64
Australia,328,[274.3-392.3],2.6,1.5,0.31
El Salvador,317,[264.1-380.5],9.2,7.4,1.93
Togo,309,[218.6-436.7],7.4,13.8,3.35
Mauritania,286,[133.5-612.7],12.4,20.3,3.78
Kyrgyzstan,286,[234.6-348.6],8.7,9.1,1.51
Slovakia,284,[233.3-345.7],10.1,5.3,1.06
Greece,282,[226.4-351.2],5.3,2.2,0.49
Turkmenistan,265,[226.6-310.0],8.7,8.9,1.36
Azerbaijan,256,[220.1-297.8],5,4,0.63
The Netherlands,253,[202.2-316.6],2.9,1.4,0.32
Republic of Moldova,248,[206.1-298.4],11.8,7.4,1.2
Jamaica,247,[211.0-289.1],16.6,13.6,2.55
Belgium,236,[189.2-294.4],4,2,0.42
Central African Republic,223,[147.8-336.4],9.2,17.1,3.01
Eswatini,214,[184.1-248.7],36.3,55.7,8.86
Namibia,214,[183.8-249.1],16.3,22.5,5.18
"Congo, Republic of",214,[158.7-288.5],7.7,14.2,3.3
Botswana,207,[144.2-297.2],17.1,20.1,4.28
Georgia,204,[160.4-259.4],9.8,5.9,0.97
Sweden,200,[159.6-250.6],4,1.8,0.44
The Republic of the Gambia,199,[143.6-275.7],16.3,33.9,11.02
Panama,194,[156.7-240.1],9,7.5,1.53
Iraq,193,[160.8-231.6],0.97,1.5,0.26
Lithuania,193,[160.1-232.7],13.2,6.7,1.14
Costa Rica,192,[150.9-244.2],7.5,5.4,1.19
Lao People's Democratic Republic,191,[119.0-306.5],5.3,6.7,1.32
Tajikistan,190,[159.7-226.0],4,5.2,0.94
Tunisia,185,[138.8-246.5],3.1,2.4,0.48
Mongolia,182,[147.2-225.0],10.9,11.6,2.86
Saudi Arabia,179,[75.2-426.2],1.2,1.6,0.37
Guinea-Bissau,172,[80.3-368.5],17.1,30.3,5.64
Singapore,172,[140.3-210.9],6.2,3.3,0.81
Austria,170,[132.2-218.6],3.7,1.8,0.37
Uruguay,159,[125.1-202.1],8.9,5.6,0.98
Yemen,153,[63.6-368.3],1,1.8,0.27
Bosnia and Herzegovina,153,[127.9-183.0],9.1,5.2,0.83
Croatia,150,[115.8-194.3],7.1,3.2,0.65
Libya,141,[95.8-207.5],4.1,4.9,1.07
Denmark,140,[79.8-245.6],4.8,2.2,0.53
Syrian Arab Republic,137,[28.8-651.5],1.6,1.9,0.36
Latvia,136,[98.6-187.5],13.4,6.8,1.16
Eritrea,130,[75.3-224.4],7.3,11.4,1.96
Trinidad and Tobago,127,[100.8-160.0],17.9,11.9,2.47
Israel,121,[86.8-168.8],2.8,2,0.42
Gabon,118,[78.2-178.0],10.8,16.4,3.28
Armenia,115,[78.8-167.9],7.3,4.6,0.9
