"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"NCD_CCS_hpv","PUBLISHED","2015","EMR","AFG","No","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","EUR","ALB","No","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","AFR","DZA","No","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","EUR","AND","Yes","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","AFR","AGO","Yes","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","AMR","ATG","No","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","AMR","ARG","Yes","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","EUR","ARM","No","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","WPR","AUS","Yes","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","EUR","AUT","Yes","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","EUR","AZE","No","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","AMR","BHS","Yes","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","EMR","BHR","No","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","SEAR","BGD","Yes","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","AMR","BRB","Yes","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","EUR","BLR","No","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","EUR","BEL","Yes","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","AMR","BLZ","No","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","AFR","BEN","No","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","SEAR","BTN","Yes","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","AMR","BOL","No","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","EUR","BIH","No","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","AMR","BRA","Yes","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","WPR","BRN","Yes","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","EUR","BGR","Yes","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","AFR","BFA","Yes","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","AFR","BDI","No","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","WPR","KHM","No","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","AFR","CMR","No","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","AMR","CAN","Yes","","","","","",""
"NCD_CCS_hpv","PUBLISHED","2015","AFR","CAF","No","","","","","",""
