Location,Deaths (95% UI),"Mortality rate per 100,000
(95% UI)","Incidence per 1,000
(95% UI)",Cases (95% UI)
China,474,0.8,111.1,"6,862,616"
,(363-621),(0.6-1.0),(76.7-161.2),"(4,736,201-9,951,575)"
North Korea,173,5.8,370.0,"1,214,987"
,(82-310),(2.8-10.5),(235.0-546.0),"(771,802-1,792,896)"
Taiwan,2,0.2,194.3,"202,885"
,(1-3),(0.1-0.3),(116.3-304.4),"(121,429-317,854)"
Cambodia,96,5.1,667.9,"1,223,928"
,(55-158),(2.9-8.4),(453.8-921.4),"(831,622-1,688,584)"
Indonesia,"1,994",8.8,538.7,"12,948,711"
,"(1,498-2,611)",(6.6-11.5),(369.3-776.0),"(8,878,371-18,654,115)"
Laos,329,29.1,833.1,"899,194"
,(139-622),(12.3-55.0),"(569.3-1,158.0)","(614,471-1,249,885)"
Malaysia,7,0.3,222.5,"579,057"
,(5-12),(0.2-0.5),(126.0-357.7),"(328,009-931,153)"
Maldives,0,0.4,258.1,"9,512"
,(0-0),(0.3-0.7),(164.9-396.8),"(6,076-14,621)"
Mauritius,1,1.7,374.8,"24,854"
,(1-2),(1.1-2.5),(240.1-574.2),"(15,923-38,074)"
Myanmar,324,7.0,334.7,"2,093,714"
,(148-609),(3.2-13.1),(214.7-499.9),"(1,343,046-3,127,199)"
Philippines,887,7.7,507.3,"5,868,418"
,"(558-1,382)",(4.8-11.9),(390.2-671.1),"(4,514,026-7,763,542)"
Sri Lanka,3,0.2,234.7,"326,929"
,(2-6),(0.1-0.4),(147.8-358.6),"(205,905-499,533)"
Seychelles,0,0.4,351.8,"2,955"
,(0-0),(0.2-0.6),(214.7-545.7),"(1,804-4,584)"
Thailand,25,0.8,487.9,"1,220,322"
,(15-39),(0.5-1.3),(366.5-664.4),"(916,601-1,661,770)"
Timor-Leste,54,32.5,734.8,"120,817"
,(27-98),(16.1-59.0),"(482.6-1,108.8)","(79,346-182,321)"
Vietnam,44,0.6,630.3,"4,510,324"
,(25-73),(0.3-1.0),(422.7-909.1),"(3,024,761-6,505,488)"
American Samoa,0,0.5,276.8,"2,069"
,(0-0),(0.3-0.9),(178.5-417.4),"(1,334-3,120)"
Federated States of Micronesia,0,0.8,221.5,"2,189"
,(0-0),(0.3-1.5),(140.9-332.2),"(1,393-3,283)"
Fiji,4,7.0,311.2,"16,951"
,(2-7),(3.3-13.6),(201.7-469.3),"(10,987-25,560)"
Guam,0,0.2,283.8,"4,960"
,(0-0),(0.1-0.4),(181.6-433.6),"(3,173-7,578)"
Kiribati,1,11.0,343.2,"4,665"
,(1-3),(4.9-21.8),(217.2-528.1),"(2,953-7,178)"
Marshall Islands,0,1.1,262.8,"2,582"
,(0-0),(0.4-2.3),(167.8-391.7),"(1,649-3,848)"
Northern Mariana Islands,0,0.1,391.8,"6,071"
,(0-0),(0.0-0.1),(244.9-619.4),"(3,794-9,598)"
Papua New Guinea,72,6.7,334.9,"348,845"
,(34-136),(3.1-12.7),(213.8-505.2),"(222,664-526,294)"
Samoa,0,0.4,301.7,"8,333"
,(0-0),(0.1-0.8),(193.9-458.9),"(5,355-12,674)"
Solomon Islands,5,6.0,387.3,"31,748"
,(2-9),(3.0-10.7),(254.0-575.1),"(20,827-47,144)"
Tonga,0,1.0,283.5,"3,880"
,(0-0),(0.4-2.0),(187.2-419.6),"(2,562-5,744)"
Vanuatu,2,5.0,404.9,"16,352"
,(1-4),(2.3-9.9),(266.9-596.1),"(10,778-24,071)"
Armenia,1,0.5,233.5,"52,505"
,(1-2),(0.3-0.9),(143.5-358.7),"(32,270-80,674)"
Azerbaijan,27,2.8,303.6,"281,222"
,(13-50),(1.3-5.2),(191.2-472.7),"(177,056-437,855)"
Georgia,1,0.4,237.9,"66,442"
,(1-3),(0.2-0.8),(144.1-368.0),"(40,234-102,773)"
Kazakhstan,9,0.5,180.9,"353,358"
,(5-15),(0.3-0.8),(112.3-276.0),"(219,333-539,129)"
Kyrgyzstan,23,3.1,140.6,"114,018"
,(15-34),(2.0-4.5),(89.2-212.8),"(72,375-172,623)"
Mongolia,0,0.1,354.2,"131,766"
,(0-1),(0.1-0.2),(230.4-528.2),"(85,733-196,511)"
Tajikistan,143,12.6,304.4,"334,272"
,(71-263),(6.3-23.1),(193.4-470.2),"(212,342-516,351)"
Turkmenistan,17,3.0,353.6,"189,520"
,(9-31),(1.6-5.3),(220.1-547.5),"(117,974-293,444)"
Uzbekistan,15,0.4,78.7,"378,433"
,(7-28),(0.2-0.8),(45.8-125.4),"(220,172-603,296)"
Albania,0,0.1,337.0,"58,485"
,(0-0),(0.1-0.3),(205.0-527.7),"(35,574-91,594)"
Bosnia and Herzegovina,1,0.4,399.4,"68,983"
,(0-1),(0.2-0.6),(253.4-593.6),"(43,757-102,511)"
Bulgaria,2,0.5,508.9,"172,970"
,(1-3),(0.3-0.9),(320.1-781.3),"(108,794-265,566)"
Croatia,0,0.1,682.4,"135,746"
,(0-0),(0.1-0.2),"(404.2-1,046.0)","(80,404-208,086)"
Czech Republic,1,0.1,586.9,"332,219"
,(0-1),(0.1-0.2),(356.8-915.0),"(201,976-517,954)"
Hungary,1,0.1,275.5,"140,202"
,(0-1),(0.1-0.2),(167.4-435.1),"(85,187-221,431)"
Macedonia,1,0.6,434.0,"49,436"
,(0-1),(0.3-1.2),(263.5-670.6),"(30,014-76,382)"
Montenegro,0,0.2,297.3,"10,995"
,(0-0),(0.1-0.3),(178.6-466.9),"(6,604-17,267)"
Poland,2,0.1,860.8,"1,710,463"
,(1-4),(0.1-0.2),"(585.8-1,268.7)","(1,164,102-2,520,923)"
Romania,15,1.7,"1,186.8","945,983"
,(10-22),(1.2-2.5),"(851.6-1,662.8)","(678,792-1,325,426)"
Serbia,1,0.3,540.5,"221,879"
,(1-2),(0.2-0.5),(343.6-784.4),"(141,021-321,989)"
Slovakia,1,0.3,660.6,"196,707"
,(0-1),(0.1-0.5),"(384.2-1,053.4)","(114,399-313,656)"
Slovenia,0,0.0,704.6,"74,920"
,(0-0),(0.0-0.1),"(408.7-1,100.3)","(43,458-116,990)"
Belarus,1,0.1,400.4,"239,056"
,(0-1),(0.0-0.1),(255.2-607.0),"(152,359-362,384)"
Estonia,0,0.0,499.5,"38,355"
,(0-0),(0.0-0.1),(324.4-687.6),"(24,908-52,796)"
Latvia,0,0.1,581.7,"75,203"
,(0-0),(0.1-0.2),(368.8-856.4),"(47,675-110,715)"
Lithuania,0,0.1,748.5,"132,183"
,(0-0),(0.1-0.2),"(479.0-1,096.7)","(84,590-193,677)"
Moldova,1,0.5,325.4,"72,542"
,(1-2),(0.3-0.8),(210.5-482.7),"(46,916-107,600)"
Russia,48,0.5,532.6,"5,262,797"
,(31-71),(0.3-0.8),(374.7-749.4),"(3,703,129-7,405,344)"
Ukraine,5,0.2,497.5,"1,294,068"
,(2-10),(0.1-0.4),(318.4-730.1),"(828,264-1,899,123)"
Brunei,0,0.3,35.8,"1,251"
,(0-0),(0.2-0.4),(22.3-54.1),"(781-1,891)"
Japan,8,0.2,36.1,"187,285"
,(6-10),(0.1-0.2),(22.2-54.5),"(115,095-283,218)"
South Korea,2,0.1,24.0,"53,115"
,(1-3),(0.1-0.1),(14.7-37.9),"(32,501-83,835)"
Singapore,0,0.1,53.6,"9,503"
,(0-0),(0.1-0.2),(34.1-83.8),"(6,042-14,844)"
Australia,2,0.2,28.8,"43,920"
,(2-3),(0.1-0.2),(18.0-44.2),"(27,465-67,236)"
New Zealand,1,0.2,62.9,"18,410"
,(0-1),(0.2-0.3),(40.0-98.3),"(11,703-28,755)"
Andorra,0,0.2,232.9,696
,(0-0),(0.1-0.4),(126.3-404.5),"(378-1,209)"
Austria,1,0.1,270.5,"106,729"
,(0-1),(0.1-0.2),(168.0-412.5),"(66,283-162,780)"
Belgium,2,0.3,249.5,"154,926"
,(1-2),(0.2-0.4),(152.1-386.4),"(94,413-239,902)"
Cyprus,0,0.6,289.7,"14,977"
,(0-1),(0.3-1.1),(158.6-505.6),"(8,200-26,140)"
Denmark,2,0.5,453.3,"129,552"
,(1-2),(0.4-0.7),(287.4-691.8),"(82,133-197,739)"
England,5,0.1,144.9,"460,317"
,(4-6),(0.1-0.2),(91.9-222.3),"(291,777-706,061)"
Finland,0,0.1,736.0,"214,607"
,(0-0),(0.1-0.2),"(470.1-1,088.9)","(137,076-317,524)"
France,18,0.5,261.9,"1,022,477"
,(11-26),(0.3-0.7),(166.5-409.1),"(649,967-1,597,211)"
Germany,6,0.2,255.2,"886,893"
,(4-8),(0.1-0.2),(157.9-392.2),"(548,805-1,362,736)"
Greece,0,0.0,104.6,"49,740"
,(0-0),(0.0-0.1),(61.5-169.3),"(29,254-80,517)"
Iceland,0,0.1,194.6,"4,162"
,(0-0),(0.1-0.2),(118.5-306.5),"(2,535-6,554)"
Ireland,0,0.1,111.7,"41,774"
,(0-1),(0.1-0.2),(61.7-191.3),"(23,074-71,545)"
Israel,3,0.4,166.6,"140,114"
,(2-4),(0.3-0.5),(117.3-246.5),"(98,615-207,280)"
Italy,5,0.2,212.7,"572,733"
,(3-7),(0.1-0.3),(151.6-286.7),"(408,164-771,831)"
Luxembourg,0,0.3,240.1,"6,992"
,(0-0),(0.2-0.5),(131.0-417.2),"(3,814-12,148)"
Malta,0,0.1,95.4,"2,028"
,(0-0),(0.1-0.2),(52.2-170.0),"(1,110-3,613)"
Netherlands,2,0.2,428.5,"372,773"
,(1-3),(0.1-0.3),(268.3-666.0),"(233,404-579,428)"
Northern Ireland,1,0.4,198.6,"23,551"
,(0-1),(0.2-0.8),(107.5-356.0),"(12,748-42,224)"
Norway,0,0.1,212.9,"60,285"
,(0-1),(0.1-0.2),(115.3-401.7),"(32,634-113,756)"
Portugal,1,0.3,163.9,"75,773"
,(1-2),(0.2-0.5),(98.8-253.6),"(45,686-117,262)"
Scotland,1,0.3,193.5,"52,705"
,(1-2),(0.2-0.5),(104.6-355.4),"(28,491-96,776)"
Spain,1,0.1,78.0,"185,335"
,(1-2),(0.0-0.1),(52.8-115.5),"(125,338-274,381)"
Sweden,1,0.1,220.0,"124,968"
,(0-1),(0.1-0.2),(137.7-339.9),"(78,254-193,095)"
Switzerland,1,0.3,273.2,"113,167"
,(1-2),(0.2-0.4),(172.4-417.0),"(71,437-172,737)"
Wales,1,0.5,312.8,"50,311"
,(0-1),(0.3-0.8),(170.2-560.4),"(27,373-90,124)"
Argentina,28,0.8,236.7,"839,195"
,(21-38),(0.6-1.1),(178.9-313.1),"(634,190-1,110,080)"
Chile,2,0.2,211.3,"257,959"
,(2-4),(0.1-0.3),(136.5-317.0),"(166,675-387,043)"
Uruguay,2,0.8,100.7,"24,036"
,(1-3),(0.4-1.3),(62.2-161.3),"(14,838-38,513)"
Canada,1,0.1,30.2,"58,977"
,(1-2),(0.0-0.1),(17.9-48.5),"(34,983-94,549)"
Greenland,0,0.3,40.9,141
,(0-0),(0.1-0.5),(24.2-66.2),(84-229)
United States,37,0.2,30.4,"593,007"
,(28-48),(0.1-0.2),(19.2-44.8),"(375,338-875,292)"
Antigua and Barbuda,0,0.9,323.2,"1,494"
,(0-0),(0.4-1.7),(171.0-585.1),"(790-2,705)"
Bahamas,0,0.7,273.1,"8,720"
,(0-1),(0.2-1.6),(141.4-500.1),"(4,517-15,970)"
Barbados,0,0.6,260.9,"4,093"
,(0-0),(0.2-1.3),(135.9-483.0),"(2,132-7,576)"
Belize,1,1.6,291.1,"12,026"
,(0-2),(0.6-3.6),(159.0-523.2),"(6,567-21,613)"
Bermuda,0,0.1,282.7,"1,251"
,(0-0),(0.1-0.2),(141.9-529.7),"(628-2,345)"
Cuba,3,0.4,206.4,"127,330"
,(2-4),(0.3-0.6),(144.0-296.7),"(88,840-183,010)"
Dominica,0,1.2,264.2,"1,429"
,(0-0),(0.6-2.3),(138.8-485.6),"(751-2,625)"
Dominican Republic,34,3.6,285.1,"290,107"
,(17-61),(1.9-6.5),(146.4-535.8),"(148,973-545,229)"
Grenada,0,0.7,255.5,"3,048"
,(0-0),(0.3-1.5),(129.8-473.9),"(1,549-5,654)"
Guyana,5,8.4,352.1,"25,135"
,(3-9),(4.8-13.7),(226.7-524.5),"(16,185-37,439)"
Haiti,146,9.6,119.7,"181,081"
,(79-260),(5.2-17.1),(67.1-188.2),"(101,472-284,528)"
Jamaica,4,1.4,175.1,"46,862"
,(2-8),(0.6-2.8),(93.6-314.1),"(25,040-84,058)"
Puerto Rico,1,0.3,185.7,"44,635"
,(0-1),(0.2-0.6),(93.5-358.2),"(22,467-86,100)"
Saint Lucia,0,0.9,382.4,"3,828"
,(0-0),(0.3-2.0),(203.5-688.8),"(2,037-6,894)"
Saint Vincent and the Grenadines,0,1.7,230.7,"2,198"
,(0-0),(0.9-3.0),(148.8-344.6),"(1,417-3,283)"
Suriname,2,4.9,187.9,"9,914"
,(1-4),(2.4-8.9),(117.2-293.7),"(6,181-15,497)"
Trinidad and Tobago,1,0.9,146.1,"12,978"
,(0-2),(0.3-2.3),(77.0-269.4),"(6,842-23,922)"
"Virgin Islands, U.S.",0,0.2,271.8,"1,484"
,(0-0),(0.1-0.4),(139.3-509.7),"(761-2,784)"
Bolivia,44,3.2,437.6,"584,290"
,(25-73),(1.8-5.3),(294.3-640.0),"(392,939-854,572)"
Ecuador,19,1.1,322.7,"545,584"
,(11-30),(0.6-1.7),(195.1-482.5),"(329,857-815,742)"
Peru,16,0.5,154.8,"547,030"
,(9-25),(0.3-0.7),(98.8-221.6),"(349,305-783,048)"
Colombia,85,2.4,656.2,"2,123,603"
,(55-125),(1.5-3.5),(424.6-966.3),"(1,374,212-3,127,391)"
Costa Rica,3,0.8,441.4,"143,184"
,(1-5),(0.4-1.6),(232.0-815.7),"(75,262-264,579)"
El Salvador,16,2.9,550.2,"257,963"
,(8-28),(1.5-5.2),(343.4-839.7),"(161,013-393,690)"
Guatemala,139,7.0,390.5,"747,833"
,(94-195),(4.8-9.9),(256.1-539.9),"(490,368-1,033,923)"
Honduras,50,5.3,426.6,"399,764"
,(29-80),(3.1-8.5),(275.0-603.1),"(257,735-565,116)"
Mexico,282,2.4,203.9,"2,378,537"
,(211-364),(1.8-3.1),(129.6-314.0),"(1,511,635-3,661,993)"
Nicaragua,5,0.9,66.3,"40,410"
,(3-9),(0.5-1.4),(31.1-115.3),"(18,937-70,302)"
Panama,16,4.7,473.3,"172,145"
,(9-29),(2.5-8.3),(247.8-858.2),"(90,108-312,113)"
Venezuela,119,4.1,694.2,"1,965,004"
,(78-175),(2.7-6.1),"(441.1-1,019.8)","(1,248,478-2,886,493)"
Brazil,259,1.7,734.9,"10,248,349"
,(198-335),(1.3-2.2),(519.3-985.0),"(7,242,676-13,737,005)"
Paraguay,9,1.4,976.9,"305,549"
,(5-14),(0.8-2.3),"(604.1-1,391.2)","(188,969-435,157)"
Afghanistan,840,16.9,601.6,"2,852,954"
,"(412-1,520)",(8.3-30.7),"(332.9-1,017.3)","(1,578,830-4,824,054)"
Algeria,43,0.9,252.3,"1,284,098"
,(20-83),(0.4-1.8),(142.0-400.8),"(722,453-2,039,554)"
Bahrain,0,0.1,251.8,"24,282"
,(0-0),(0.1-0.3),(129.7-443.3),"(12,503-42,747)"
Egypt,904,8.3,199.9,"2,390,351"
,"(463-1,558)",(4.2-14.3),(123.9-297.1),"(1,481,493-3,552,297)"
Iran,156,1.9,960.4,"6,811,659"
,(55-363),(0.7-4.5),"(623.8-1,423.3)","(4,424,130-10,094,515)"
Iraq,312,4.1,375.9,"2,783,505"
,(128-608),(1.7-7.9),(199.1-614.0),"(1,474,037-4,546,309)"
Jordan,7,0.7,390.4,"374,700"
,(4-11),(0.4-1.1),(251.3-571.9),"(241,231-548,908)"
Kuwait,1,0.3,132.5,"88,254"
,(0-1),(0.1-0.5),(69.1-226.4),"(46,017-150,762)"
Lebanon,2,0.6,386.6,"116,530"
,(1-4),(0.3-1.3),(214.3-637.3),"(64,594-192,120)"
Libya,2,0.5,187.6,"92,288"
,(1-4),(0.2-0.9),(106.8-296.9),"(52,519-146,079)"
Morocco,235,10.3,475.9,"1,068,125"
,(134-390),(5.8-17.0),(307.9-709.1),"(690,948-1,591,394)"
Palestine,7,0.6,356.6,"381,437"
,(3-12),(0.3-1.1),(190.9-595.7),"(204,199-637,220)"
Oman,1,0.3,641.5,"276,141"
,(1-3),(0.2-0.6),(406.6-956.8),"(175,029-411,882)"
Qatar,0,0.2,155.6,"19,720"
,(0-0),(0.1-0.4),(83.1-280.9),"(10,530-35,585)"
Saudi Arabia,7,0.3,224.4,"572,180"
,(4-11),(0.2-0.4),(147.8-330.5),"(376,953-842,879)"
Sudan,532,12.7,494.9,"1,827,025"
,"(207-1,173)",(4.9-28.0),(344.7-693.7),"(1,272,500-2,561,104)"
Syria,5,0.3,241.6,"469,217"
,(2-10),(0.1-0.6),(127.1-414.8),"(246,940-805,803)"
Tunisia,4,0.5,307.7,"285,502"
,(2-7),(0.3-0.9),(235.3-406.8),"(218,380-377,533)"
Turkey,39,0.6,257.1,"1,602,391"
,(21-65),(0.3-1.1),(192.2-342.9),"(1,197,928-2,137,404)"
United Arab Emirates,1,0.1,251.4,"234,106"
,(0-2),(0.0-0.3),(130.8-434.7),"(121,806-404,747)"
Yemen,"1,093",23.6,659.3,"2,978,163"
,"(385-2,232)",(8.3-48.2),"(359.9-1,180.7)","(1,625,935-5,333,619)"
Bangladesh,782,5.5,414.4,"6,181,744"
,"(477-1,160)",(3.3-8.1),(333.3-521.0),"(4,972,575-7,771,426)"
Bhutan,3,3.6,898.7,"67,965"
,(1-5),(1.6-6.4),"(619.1-1,233.2)","(46,822-93,264)"
India,"10,282",9.2,194.7,"22,612,577"
,"(7,442-13,730)",(6.6-12.2),(127.0-285.3),"(14,756,286-33,142,659)"
Nepal,160,4.0,458.3,"1,929,159"
,(84-284),(2.1-7.1),(377.1-554.5),"(1,587,098-2,333,911)"
Pakistan,"2,169",9.4,173.0,"4,228,167"
,"(1,411-3,123)",(6.1-13.5),(117.3-241.5),"(2,865,976-5,902,830)"
Angola,"2,004",40.8,660.5,"3,304,069"
,"(1,114-3,280)",(22.7-66.9),(476.2-949.4),"(2,381,788-4,749,019)"
Central African Republic,"1,232",166.0,"1,263.2","999,223"
,"(759-1,925)",(102.2-259.4),"(926.3-1,632.8)","(732,760-1,291,601)"
Congo,273,36.6,944.9,"704,108"
,(151-461),(20.2-61.8),"(719.7-1,221.2)","(536,255-909,997)"
Democratic Republic of the Congo,"12,058",85.8,"1,632.5","23,419,173"
,"(6,601-19,978)",(47.0-142.1),"(1,290.7-2,012.3)","(18,515,882-28,867,977)"
Equatorial Guinea,5,5.5,"1,062.1","104,206"
,(2-10),(2.5-10.6),"(645.2-1,590.1)","(63,301-156,012)"
Gabon,44,18.1,789.7,"196,075"
,(24-74),(9.8-30.0),"(578.9-1,033.5)","(143,749-256,615)"
Burundi,"1,814",84.7,622.2,"1,316,133"
,"(1,084-2,927)",(50.6-136.6),(392.9-924.5),"(831,106-1,955,556)"
Comoros,18,19.6,534.7,"51,972"
,(9-34),(10.1-36.4),(331.4-810.1),"(32,210-78,737)"
Djibouti,19,11.1,473.1,"59,294"
,(9-36),(5.0-21.0),(284.6-759.4),"(35,671-95,189)"
Eritrea,289,36.3,523.0,"392,488"
,(158-468),(19.9-58.8),(313.9-847.9),"(235,534-636,256)"
Ethiopia,"2,649",17.3,299.1,"4,419,158"
,"(1,716-3,738)",(11.2-24.5),(233.9-372.1),"(3,455,906-5,496,306)"
Kenya,"1,404",21.4,343.2,"2,260,592"
,"(1,008-1,929)",(15.3-29.4),(228.5-502.3),"(1,505,105-3,308,791)"
Madagascar,"1,718",44.2,358.5,"1,384,649"
,"(960-2,741)",(24.7-70.5),(220.1-554.3),"(850,318-2,141,022)"
Malawi,"1,000",31.2,582.2,"1,880,469"
,"(599-1,541)",(18.7-48.1),(375.7-857.7),"(1,213,479-2,770,214)"
Mozambique,"1,216",24.5,366.8,"1,841,770"
,"(741-1,841)",(14.9-37.1),(282.0-481.4),"(1,416,213-2,417,525)"
Rwanda,650,34.7,720.0,"1,336,002"
,(411-985),(21.9-52.6),(571.8-913.5),"(1,060,959-1,694,960)"
Somalia,518,39.2,636.2,"752,300"
,(258-930),(19.6-70.5),(422.1-909.8),"(499,220-1,075,891)"
South Sudan,913,31.9,719.9,"2,146,188"
,"(443-1,716)",(15.5-60.0),"(435.3-1,132.0)","(1,297,642-3,374,501)"
Tanzania,"1,224",13.6,277.0,"2,601,351"
,"(775-1,834)",(8.6-20.4),(196.2-389.4),"(1,842,554-3,657,017)"
Uganda,"2,146",28.6,694.1,"5,238,860"
,"(1,442-3,070)",(19.2-40.8),(536.4-883.6),"(4,048,229-6,669,040)"
Zambia,722,25.4,454.8,"1,283,627"
,"(466-1,086)",(16.4-38.2),(347.8-571.0),"(981,617-1,611,551)"
Botswana,11,4.3,77.6,"21,110"
,(5-21),(2.0-8.0),(41.6-128.2),"(11,324-34,889)"
Lesotho,141,54.7,299.1,"75,510"
,(89-218),(34.4-84.6),(193.5-443.8),"(48,855-112,051)"
Namibia,101,30.3,319.2,"108,721"
,(53-163),(16.0-48.9),(196.7-477.0),"(67,011-162,469)"
South Africa,319,6.4,220.5,"1,191,643"
,(205-489),(4.1-9.8),(145.7-318.0),"(787,473-1,718,763)"
Swaziland,75,36.0,244.6,"50,008"
,(43-119),(20.8-56.9),(150.5-375.0),"(30,768-76,668)"
Zimbabwe,866,34.2,271.2,"702,165"
,"(553-1,266)",(21.8-50.0),(175.6-396.7),"(454,567-1,026,910)"
Benin,"1,806",94.5,572.8,"1,118,918"
,"(1,094-2,708)",(57.3-141.7),(362.2-861.6),"(707,444-1,683,010)"
Burkina Faso,"2,699",84.5,"1,208.2","3,888,875"
,"(1,584-4,248)",(49.6-133.0),"(962.5-1,549.1)","(3,098,119-4,986,247)"
Cameroon,"1,961",50.6,904.3,"3,556,390"
,"(1,177-3,059)",(30.3-78.9),"(695.7-1,168.9)","(2,735,863-4,596,857)"
Cape Verde,3,3.9,411.5,"30,591"
,(2-5),(2.3-6.0),(251.3-639.9),"(18,683-47,569)"
Chad,"4,229",160.1,"1,114.8","2,874,413"
,"(2,693-6,486)",(101.9-245.6),"(695.8-1,610.1)","(1,793,880-4,151,413)"
Cote d'Ivoire,"2,596",72.9,636.3,"2,224,796"
,"(1,570-3,947)",(44.1-110.9),(417.5-929.9),"(1,459,666-3,251,367)"
Gambia,37,10.0,176.8,"64,914"
,(23-54),(6.4-14.7),(117.4-258.2),"(43,103-94,821)"
Ghana,664,15.3,712.6,"3,289,343"
,"(410-1,025)",(9.4-23.6),(575.1-877.9),"(2,654,688-4,052,310)"
Guinea,850,41.8,762.8,"1,526,681"
,"(476-1,435)",(23.4-70.5),"(477.0-1,123.0)","(954,754-2,247,538)"
Guinea-Bissau,195,63.1,799.7,"244,354"
,(117-293),(37.6-94.7),"(529.4-1,193.4)","(161,753-364,629)"
Liberia,665,93.2,880.9,"625,350"
,"(401-1,024)",(56.3-143.6),"(552.2-1,340.8)","(391,992-951,882)"
Mali,"1,109",35.2,187.2,"576,676"
,"(694-1,668)",(22.0-53.0),(130.4-268.4),"(401,781-826,975)"
Mauritania,177,34.4,679.2,"339,011"
,(110-271),(21.3-52.6),(438.0-995.6),"(218,583-496,915)"
Niger,"4,160",112.9,716.3,"2,656,642"
,"(2,654-6,002)",(72.1-162.9),(573.0-908.9),"(2,125,232-3,371,236)"
Nigeria,"47,683",161.5,"1,116.0","33,510,145"
,"(31,726-66,272)",(107.4-224.4),"(913.6-1,386.3)","(27,432,439-41,628,263)"
Sao Tome and Principe,5,16.0,601.8,"20,796"
,(3-10),(7.6-28.6),(375.1-918.0),"(12,962-31,722)"
Senegal,903,35.5,613.0,"1,571,014"
,"(575-1,317)",(22.6-51.8),(421.6-851.2),"(1,080,596-2,181,663)"
Sierra Leone,"1,122",107.9,623.1,"648,546"
