"p","t","y","e","d","i","expected_years_saved","expected_years_saved_U","infs","prob_success","benefit","ratio"
0.05,1,2.5,0.5,0.1,1350000,0.0490037116891127,0.980074233782253,98.75,0.05,3307.7505390151,33.4962079900264
0.05,1,2.5,0.5,0.1,5e+05,0.0490037116891127,0.980074233782253,98.75,0.05,1225.09279222782,12.406002959269
0.05,1,2.5,0.5,0.2,1350000,0.0490037116891127,0.980074233782253,98.75,0.05,6615.50107803021,66.9924159800528
0.05,1,2.5,0.5,0.2,5e+05,0.0490037116891127,0.980074233782253,98.75,0.05,2450.18558445563,24.8120059185381
0.05,1,2.5,0.5,0.3,1350000,0.0490037116891127,0.980074233782253,98.75,0.05,9923.25161704531,100.488623970079
0.05,1,2.5,0.5,0.3,5e+05,0.0490037116891127,0.980074233782253,98.75,0.05,3675.27837668345,37.2180088778071
0.05,1,2.5,0.5,0.4,1350000,0.0490037116891127,0.980074233782253,98.75,0.05,13231.0021560604,133.984831960106
0.05,1,2.5,0.5,0.4,5e+05,0.0490037116891127,0.980074233782253,98.75,0.05,4900.37116891127,49.6240118370761
0.05,1,2.5,0.5,0.5,1350000,0.0490037116891127,0.980074233782253,98.75,0.05,16538.7526950755,167.481039950132
0.05,1,2.5,0.5,0.5,5e+05,0.0490037116891127,0.980074233782253,98.75,0.05,6125.46396113908,62.0300147963451
0.05,1,2.5,0.5,0.6,1350000,0.0490037116891127,0.980074233782253,98.75,0.05,19846.5032340906,200.977247940158
0.05,1,2.5,0.5,0.6,5e+05,0.0490037116891127,0.980074233782253,98.75,0.05,7350.5567533669,74.4360177556142
0.05,1,2.5,0.5,0.7,1350000,0.0490037116891127,0.980074233782253,98.75,0.05,23154.2537731057,234.473455930185
0.05,1,2.5,0.5,0.7,5e+05,0.0490037116891127,0.980074233782253,98.75,0.05,8575.64954559472,86.8420207148832
0.05,1,2.5,0.5,0.8,1350000,0.0490037116891127,0.980074233782253,98.75,0.05,26462.0043121208,267.969663920211
0.05,1,2.5,0.5,0.8,5e+05,0.0490037116891127,0.980074233782253,98.75,0.05,9800.74233782253,99.2480236741522
0.05,1,2.5,0.5,0.9,1350000,0.0490037116891127,0.980074233782253,98.75,0.05,29769.7548511359,301.465871910237
0.05,1,2.5,0.5,0.9,5e+05,0.0490037116891127,0.980074233782253,98.75,0.05,11025.8351300503,111.654026633421
0.05,1,2.5,0.7,0.1,1350000,0.0490037116891127,0.980074233782253,98.25,0.05,4630.85075462115,47.1333410139557
0.05,1,2.5,0.7,0.1,5e+05,0.0490037116891127,0.980074233782253,98.25,0.05,1715.12990911894,17.4567929681317
0.05,1,2.5,0.7,0.2,1350000,0.0490037116891127,0.980074233782253,98.25,0.05,9261.70150924229,94.2666820279114
0.05,1,2.5,0.7,0.2,5e+05,0.0490037116891127,0.980074233782253,98.25,0.05,3430.25981823789,34.9135859362635
0.05,1,2.5,0.7,0.3,1350000,0.0490037116891127,0.980074233782253,98.25,0.05,13892.5522638634,141.400023041867
0.05,1,2.5,0.7,0.3,5e+05,0.0490037116891127,0.980074233782253,98.25,0.05,5145.38972735683,52.3703789043952
0.05,1,2.5,0.7,0.4,1350000,0.0490037116891127,0.980074233782253,98.25,0.05,18523.4030184846,188.533364055823
0.05,1,2.5,0.7,0.4,5e+05,0.0490037116891127,0.980074233782253,98.25,0.05,6860.51963647577,69.8271718725269
0.05,1,2.5,0.7,0.5,1350000,0.0490037116891127,0.980074233782253,98.25,0.05,23154.2537731057,235.666705069778
0.05,1,2.5,0.7,0.5,5e+05,0.0490037116891127,0.980074233782253,98.25,0.05,8575.64954559472,87.2839648406587
0.05,1,2.5,0.7,0.6,1350000,0.0490037116891127,0.980074233782253,98.25,0.05,27785.1045277269,282.800046083734
0.05,1,2.5,0.7,0.6,5e+05,0.0490037116891127,0.980074233782253,98.25,0.05,10290.7794547137,104.74075780879
0.05,1,2.5,0.7,0.7,1350000,0.0490037116891127,0.980074233782253,98.25,0.05,32415.955282348,329.93338709769
0.05,1,2.5,0.7,0.7,5e+05,0.0490037116891127,0.980074233782253,98.25,0.05,12005.9093638326,122.197550776922
0.05,1,2.5,0.7,0.8,1350000,0.0490037116891127,0.980074233782253,98.25,0.05,37046.8060369692,377.066728111645
0.05,1,2.5,0.7,0.8,5e+05,0.0490037116891127,0.980074233782253,98.25,0.05,13721.0392729515,139.654343745054
0.05,1,2.5,0.7,0.9,1350000,0.0490037116891127,0.980074233782253,98.25,0.05,41677.6567915903,424.200069125601
0.05,1,2.5,0.7,0.9,5e+05,0.0490037116891127,0.980074233782253,98.25,0.05,15436.1691820705,157.111136713186
0.05,1,2.5,0.9,0.1,1350000,0.0490037116891127,0.980074233782253,97.75,0.05,5953.95097022719,60.9099843501503
0.05,1,2.5,0.9,0.1,5e+05,0.0490037116891127,0.980074233782253,97.75,0.05,2205.16702601007,22.5592534630186
0.05,1,2.5,0.9,0.2,1350000,0.0490037116891127,0.980074233782253,97.75,0.05,11907.9019404544,121.819968700301
0.05,1,2.5,0.9,0.2,5e+05,0.0490037116891127,0.980074233782253,97.75,0.05,4410.33405202014,45.1185069260372
0.05,1,2.5,0.9,0.3,1350000,0.0490037116891127,0.980074233782253,97.75,0.05,17861.8529106816,182.729953050451
0.05,1,2.5,0.9,0.3,5e+05,0.0490037116891127,0.980074233782253,97.75,0.05,6615.50107803021,67.6777603890559
0.05,1,2.5,0.9,0.4,1350000,0.0490037116891127,0.980074233782253,97.75,0.05,23815.8038809088,243.639937400601
